id,diaSemana,consumoInterno,ocuparMesa,liberacionMesa,observacion
4ZfBjZPbw8c9E3gsGqzJ,sábado,True,13:32:39.738000,13:50:47.639000,
8FpDBGd9BSabD58iHkKD,sábado,True,13:29:59.971000,13:31:54.126000,
B265KL4JVI4TEz4Q5oKj,sábado,True,12:50:12.242000,13:15:11.717000,
CQMGUP1EaAEO62m3x489,sábado,True,12:53:21.103000,13:15:25.742000,
IhFR04hbSgNYRLFoCIdV,sábado,True,13:18:09.886000,13:21:41.340000,
QziyNi2wCvalA97FR1BX,sábado,True,13:22:49.419000,13:46:56.851000,
TzTHTVtkirpemJKJVgim,sábado,True,13:14:07.589000,13:37:22.422000,
XRWrzOE4kYJj011ca6PC,sábado,True,12:46:14.150000,13:15:32.319000,
aQS99cqCq7tRlXLFEY35,sábado,True,13:24:33.635000,13:32:12.573000,
cfp6FZ9ya3fSp3DCTq8i,sábado,True,12:24:58.560000,12:43:52.790000,
dcRdOB4y6gwMIvWHM1Gc,sábado,True,12:57:11.475000,13:13:01.028000,
maxZiNVP19O76Zxmao7t,sábado,True,12:09:19.290000,12:22:55.149000,
nRWGInDO3urFZQhl1GGB,sábado,True,13:23:39.258000,13:24:14.340000,
nk6ZW6ChetrL5TbZrubF,sábado,True,12:23:08.690000,12:24:31.521000,
wqdEVNriRQVVjMwG4EC9,sábado,True,13:14:06.983000,13:33:11.686000,
xkyPjE4QLXfDDtU8jOHI,sábado,True,12:46:07.043000,12:55:37.362000,
